ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
134372	0.666666666666667	0.80952380952381	0.68	0.647058823529412	0.857142857142857	0.416666666666667	0.4	0.5	0.428571428571429	0.0967741935483871	0.216216216216216	5	1	25
134373	0.166666666666667	0.666666666666667	0.68	0.882352941176471	0.857142857142857	0.416666666666667	0.4	0.8	0.0714285714285714	0.129032258064516	0.945945945945946	5	1	25
134374	0.333333333333333	0.333333333333333	0.4	0.588235294117647	0	0.166666666666667	0.4	0.45	0	0	0.432432432432432	5	1	25
134375	0	0.571428571428571	0.36	0.529411764705882	0.571428571428571	0.333333333333333	0.4	0.45	0.214285714285714	0.161290322580645	0.378378378378378	5	1	25
134376	1	1	1	0.941176470588235	1	1	0.8	0.85	0.142857142857143	0.129032258064516	1	5	-1	25
134377	0.833333333333333	0.523809523809524	0.4	0.235294117647059	0.714285714285714	0.5	0.4	0.25	0	0	0.783783783783784	5	-1	25
134378	0.333333333333333	0.904761904761905	0.88	0.823529411764706	0.571428571428571	0.75	0.8	0.75	0.142857142857143	0.032258064516129	0.864864864864865	5	1	25
134379	0.833333333333333	0.952380952380952	0.8	0.705882352941177	0.714285714285714	0.666666666666667	0.6	0.8	0.0714285714285714	0.129032258064516	0.837837837837838	5	-1	25
134380	0.666666666666667	0.666666666666667	0.76	0.823529411764706	0.857142857142857	0.583333333333333	0.8	0.75	0.214285714285714	0.516129032258065	0.918918918918919	5	-1	25
134381	0	0.0476190476190476	0.12	0.235294117647059	0	0.166666666666667	0.6	0.15	0	0.032258064516129	0.432432432432432	5	-1	25
134382	0.166666666666667	0.380952380952381	0.32	0.470588235294118	0.571428571428571	0.25	0.6	0.2	0	0	0.918918918918919	5	-1	25
134383	0.166666666666667	0.380952380952381	0.4	0.294117647058824	0.428571428571429	0.416666666666667	0.4	0.35	0.285714285714286	0	0.297297297297297	5	1	25
134384	0.166666666666667	0.428571428571429	0.48	0.470588235294118	0.714285714285714	0.583333333333333	0.4	0.3	0.214285714285714	0.0967741935483871	0.540540540540541	5	1	25
134385	0.166666666666667	0.571428571428571	0.6	0.470588235294118	0.428571428571429	0.5	0.6	0.6	0	0	0.837837837837838	5	-1	25
134386	0.833333333333333	0.523809523809524	0.6	0.764705882352941	0.714285714285714	0.583333333333333	0.4	0.05	0	0	0.0810810810810811	5	1	25
134387	0.5	1	1	0.882352941176471	0.857142857142857	1	0.6	0.85	0	0.0645161290322581	0.972972972972973	5	1	25
134388	0	0.0952380952380952	0.2	0.117647058823529	0	0.333333333333333	0.4	0.1	0.214285714285714	0	0.0810810810810811	5	1	25
134389	0.166666666666667	0.476190476190476	0.68	0.352941176470588	0.857142857142857	0.75	0.2	0.55	0.214285714285714	0.0967741935483871	0.675675675675676	5	-1	25
134390	0.833333333333333	0.761904761904762	0.92	0.941176470588235	0.857142857142857	0.916666666666667	1	0.55	0.0714285714285714	0.032258064516129	0.945945945945946	5	-1	25
134391	1	1	0.92	0.941176470588235	0.857142857142857	1	0.6	0.9	0.0714285714285714	0	1	5	-1	25
134392	0.166666666666667	0.333333333333333	0.16	0.176470588235294	0.714285714285714	0.333333333333333	0.4	0.3	0	0	0.486486486486487	5	-1	25
134393	0.166666666666667	0.238095238095238	0.32	0.647058823529412	0	0.5	0.4	0.15	0	0	0.351351351351351	5	-1	25
134394	0	0.285714285714286	0.32	0.235294117647059	0.714285714285714	0.333333333333333	0.4	0.1	0.142857142857143	0	0.27027027027027	5	1	25
134395	0.166666666666667	0.333333333333333	0.76	0.529411764705882	0.428571428571429	0.0833333333333333	0.4	0.55	0	0	0.324324324324324	5	1	25
134396	0.666666666666667	0.714285714285714	0.76	0.882352941176471	0.571428571428571	0.583333333333333	0.4	0.35	0.0714285714285714	0	0.702702702702703	5	-1	25
134397	0	0.285714285714286	0.4	0.352941176470588	0.285714285714286	0.333333333333333	0.4	0.05	0	0	0.351351351351351	5	-1	25
134398	0	0.476190476190476	0.28	0.294117647058824	0.714285714285714	0.666666666666667	0.4	0.5	0	0.0645161290322581	0.567567567567568	5	1	25
134399	0	0.333333333333333	0.6	0.470588235294118	0.285714285714286	0.416666666666667	0.6	0.6	0	0.032258064516129	0.810810810810811	5	-1	25
134400	0	0	0.12	0.0588235294117647	0.285714285714286	0	0.2	0.05	0	0	0	5	1	25
134401	0	0.0952380952380952	0.24	0.117647058823529	0.142857142857143	0.0833333333333333	0.4	0	0	0	0	5	1	25
134402	0.5	0.571428571428571	0.8	0.647058823529412	0.714285714285714	1	0.4	0.65	0.0714285714285714	0.032258064516129	0.27027027027027	5	1	25
134403	0.333333333333333	0.857142857142857	0.92	0.823529411764706	0.857142857142857	0.833333333333333	0.6	0.85	0	0.032258064516129	0.810810810810811	5	1	25
134404	0.5	0.714285714285714	0.72	0.705882352941177	0.571428571428571	0.833333333333333	0.4	0.45	0	0.129032258064516	0.702702702702703	5	-1	25
134405	0.666666666666667	0.666666666666667	0.48	0.588235294117647	0.428571428571429	0.583333333333333	0.4	0.4	0	0	0.405405405405405	5	-1	25
134406	1	0.952380952380952	1	0.941176470588235	1	1	1	1	0.142857142857143	0.32258064516129	0.945945945945946	5	1	25
134407	0	0.714285714285714	0.68	0.705882352941177	1	0.583333333333333	0.6	0.2	0.285714285714286	0.129032258064516	0.324324324324324	5	-1	25
134408	0.666666666666667	0.666666666666667	0.56	0.647058823529412	0.428571428571429	0.333333333333333	0.4	0.05	0	0	0.567567567567568	5	1	25
134409	0.666666666666667	0.761904761904762	1	1	1	1	0.6	0.9	0	0.0645161290322581	0.810810810810811	5	1	25
134410	0.333333333333333	0	0.92	0.294117647058824	0.428571428571429	0.75	0.4	0.35	0.285714285714286	0.0645161290322581	0.972972972972973	5	1	25
134411	0	0.238095238095238	0.16	0.294117647058824	0.428571428571429	0.0833333333333333	0.2	0.05	0	0	0.108108108108108	5	-1	25
134412	0.333333333333333	0.428571428571429	0.52	0.529411764705882	0.714285714285714	0.5	0.6	0.3	0	0.129032258064516	0.783783783783784	5	-1	25
134413	0	0.142857142857143	0.16	0.0588235294117647	0	0	0.2	0.05	0	0	0	5	-1	25
134414	0	0.285714285714286	0.2	0.235294117647059	0	0.416666666666667	0	0.25	0	0	0.216216216216216	5	1	25
134415	1	1	1	1	1	1	1	1	1	1	0.918918918918919	5	1	25
134416	0	0.142857142857143	0.12	0.235294117647059	0.428571428571429	0.166666666666667	0.6	0.25	0	0	0.216216216216216	5	-1	25
134417	1	1	1	1	1	1	1	1	0	0.032258064516129	1	5	1	25
134418	0.166666666666667	0.333333333333333	0.32	0.352941176470588	0.428571428571429	0.5	0.4	0.2	0.142857142857143	0.0967741935483871	0.351351351351351	5	1	25
134419	0	0.142857142857143	0.28	0	0.142857142857143	0.5	0.4	0.2	0	0	0.486486486486487	5	1	25
