"Identifiers","demographics,CandID","demographics_eligibility,parent1_education","demographics_eligibility,parent1_relationship","demographics_eligibility,parent2_education","demographics_eligibility,parent2_relationship"
"JE000215_03,bcpBSLERP2x10m","794626",".",".",".","."
"JE000215_03,bcpBSLERP2x13m","794626",".",".",".","."
"JE000215_03,bcpBSLERP2x18m","794626",".",".",".","."
"JE000215_03,bcpBSLERP2x24m","794626",".",".",".","."
"JE000215_03,bcpBSLERP2x30m","794626",".",".",".","."
"JE000215_03,bcpBSLERP2x4m","794626","not_answered","biological_mother","not_answered","non_specified"
"JE000215_03,bcpBSLERP2x7m","794626",".",".",".","."
"JE000219_03,bcpBSLERP3x14m","229768",".",".",".","."
"JE000219_03,bcpBSLERP3x18m","229768",".",".",".","."
"JE000219_03,bcpBSLERP3x24m","229768",".",".",".","."
"JE000219_03,bcpBSLERP3x30m","229768",".",".",".","."
"JE000219_03,bcpBSLERP3x5m","229768","college","biological_father","college","biological_mother"
"JE000219_03,bcpBSLERP3x8m","229768",".",".",".","."
"JE000221_02,bcpBiomomVisit1","789658",".",".",".","."
"JE000221_05,bcpBSLERP2x10m","138813",".",".",".","."
"JE000221_05,bcpBSLERP2x13m","138813",".",".",".","."
"JE000221_05,bcpBSLERP2x18m","138813",".",".",".","."
"JE000221_05,bcpBSLERP2x24m","138813",".",".",".","."
"JE000221_05,bcpBSLERP2x30m","138813",".",".",".","."
"JE000221_05,bcpBSLERP2x4m","138813","college","biological_mother","college","biological_father"
"JE000221_05,bcpBSLERP2x7m","138813",".",".",".","."
"JE000222_09,bcpBSLERP3x14m","850013",".",".",".","."
"JE000222_09,bcpBSLERP3x18m","850013",".",".",".","."
"JE000222_09,bcpBSLERP3x24m","850013",".",".",".","."
"JE000222_09,bcpBSLERP3x30m","850013",".",".",".","."
"JE000222_09,bcpBSLERP3x5m","850013","college","biological_mother","college","non_specified"
"JE000222_09,bcpBSLERP3x8m","850013",".",".",".","."
"JE000225_03,bcpBSLERP3x11m","738379",".",".",".","."
"JE000225_03,bcpBSLERP3x14m","738379",".",".",".","."
"JE000225_03,bcpBSLERP3x18m","738379",".",".",".","."
"JE000225_03,bcpBSLERP3x24m","738379",".",".",".","."
"JE000225_03,bcpBSLERP3x30m","738379",".",".",".","."
"JE000225_03,bcpBSLERP3x5m","738379","grad","biological_mother","grad","biological_father"
"JE000225_03,bcpBSLERP3x8m","738379",".",".",".","."
"JE000226_03,bcpBSLERP3x11m","995663",".",".",".","."
"JE000226_03,bcpBSLERP3x14m","995663",".",".",".","."
"JE000226_03,bcpBSLERP3x18m","995663",".",".",".","."
"JE000226_03,bcpBSLERP3x24m","995663",".",".",".","."
"JE000226_03,bcpBSLERP3x5m","995663","grad","biological_mother","college","biological_father"
"JE000226_03,bcpBSLERP3x8m","995663",".",".",".","."
"JE000228_02,bcpBiomomVisit1","939359",".",".",".","."
"JE000228_04,bcpBSLERP3x11m","505926",".",".",".","."
"JE000228_04,bcpBSLERP3x14m","505926",".",".",".","."
"JE000228_04,bcpBSLERP3x18m","505926",".",".",".","."
"JE000228_04,bcpBSLERP3x24m","505926",".",".",".","."
"JE000228_04,bcpBSLERP3x30m","505926",".",".",".","."
"JE000228_04,bcpBSLERP3x5m","505926","grad","biological_mother","some_college","biological_father"
"JE000228_04,bcpBSLERP3x8m","505926",".",".",".","."
"JE000231_01,bcpParent2Visit1","327606",".",".",".","."
"JE000231_02,bcpBiomomVisit1","254069",".",".",".","."
"JE000231_03,bcpBSLERP4x12m","277762",".",".",".","."
"JE000231_03,bcpBSLERP4x15m","277762",".",".",".","."
"JE000231_03,bcpBSLERP4x18m","277762",".",".",".","."
"JE000231_03,bcpBSLERP4x24m","277762",".",".",".","."
"JE000231_03,bcpBSLERP4x30m","277762",".",".",".","."
"JE000231_03,bcpBSLERP4x6m","277762","grad","biological_mother","college","non_specified"
"JE000231_03,bcpBSLERP4x9m","277762",".",".",".","."
"JE000233_02,bcpBiomomVisit1","433879",".",".",".","."
"JE000233_03,bcpBSLERP4x12m","505499",".",".",".","."
"JE000233_03,bcpBSLERP4x15m","505499",".",".",".","."
"JE000233_03,bcpBSLERP4x18m","505499",".",".",".","."
"JE000233_03,bcpBSLERP4x24m","505499",".",".",".","."
"JE000233_03,bcpBSLERP4x30m","505499",".",".",".","."
"JE000233_03,bcpBSLERP4x6m","505499","college","biological_mother","some_college","non_specified"
"JE000233_03,bcpBSLERP4x9m","505499",".",".",".","."
