data_id,age,lex,syn,SUM,lex.p,syn.p
234130,19,20,0,20,0.034782608695652174,0
236452,12,2,0,2,0.0034782608695652175,0
236452,15,0,0,0,0,0
236452,18,25,0,25,0.043478260869565216,0
240615,16,28,0,28,0.04869565217391304,0
243511,13,9,0,9,0.01565217391304348,0
243511,18,93,7,100,0.1617391304347826,0.04
243511,24,291,41,332,0.5060869565217392,0.2342857142857143
251549,16,62,5,67,0.10782608695652174,0.02857142857142857
251549,22,170,22,192,0.2956521739130435,0.12571428571428572
261266,17,7,0,7,0.01217391304347826,0
261266,23,135,22,157,0.23478260869565218,0.12571428571428572
262208,18,17,0,17,0.029565217391304348,0
266394,15,6,0,6,0.010434782608695653,0
266437,18,45,3,48,0.0782608695652174,0.017142857142857144
266437,24,210,42,252,0.3652173913043478,0.24
272097,11,3,0,3,0.0052173913043478265,0
272097,14,0,0,0,0,0
272097,18,11,0,11,0.019130434782608695,0
272097,24,117,14,131,0.20347826086956522,0.08
277066,13,12,0,12,0.020869565217391306,0
277066,24,315,53,368,0.5478260869565217,0.3028571428571429
277762,18,133,15,148,0.23130434782608697,0.08571428571428572
277762,24,298,50,348,0.5182608695652174,0.2857142857142857
282791,19,74,15,89,0.12869565217391304,0.08571428571428572
283899,18,221,36,257,0.3843478260869565,0.2057142857142857
284149,12,6,0,6,0.010434782608695653,0
284149,18,42,1,43,0.07304347826086957,0.005714285714285714
284149,24,193,30,223,0.33565217391304347,0.17142857142857143
294064,16,7,0,7,0.01217391304347826,0
295081,18,73,1,74,0.12695652173913044,0.005714285714285714
295081,24,235,47,282,0.40869565217391307,0.26857142857142857
295330,20,46,0,46,0.08,0
302746,12,3,0,3,0.0052173913043478265,0
309615,12,2,0,2,0.0034782608695652175,0
309615,15,25,0,25,0.043478260869565216,0
309615,18,60,2,62,0.10434782608695652,0.011428571428571429
309615,21,70,1,71,0.12173913043478261,0.005714285714285714
317415,20,62,4,66,0.10782608695652174,0.022857142857142857
318409,18,41,1,42,0.07130434782608695,0.005714285714285714
320544,13,12,2,14,0.020869565217391306,0.011428571428571429
320544,18,165,36,201,0.28695652173913044,0.2057142857142857
320544,24,323,55,378,0.5617391304347826,0.3142857142857143
334324,12,5,0,5,0.008695652173913044,0
334324,18,3,0,3,0.0052173913043478265,0
334324,24,51,7,58,0.08869565217391304,0.04
340476,16,3,0,3,0.0052173913043478265,0
351080,15,95,7,102,0.16521739130434782,0.04
353374,19,54,3,57,0.09391304347826086,0.017142857142857144
354404,13,6,1,7,0.010434782608695653,0.005714285714285714
354404,16,19,0,19,0.03304347826086956,0
372377,14,7,0,7,0.01217391304347826,0
372377,24,306,52,358,0.5321739130434783,0.29714285714285715
380510,20,183,37,220,0.3182608695652174,0.21142857142857144
