ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_MALE	D_AGE_C2
133721	0.0194174757281553	0.0930232558139535	0.037037037037037	0.0714285714285714	0.0317460317460317	0.0441176470588235	0	0.32	0	0.0384615384615385	0	0.103448275862069	0.0454545454545455	0.166666666666667	0.0555555555555556	0	-7	1	49
133722	0	0.116279069767442	0.111111111111111	0.0357142857142857	0	0.147058823529412	0.0303030303030303	0.24	0.06	0	0.0967741935483871	0.172413793103448	0	0.25	0.166666666666667	0.0714285714285714	-7	1	49
133723	0.106796116504854	0.27906976744186	0.37037037037037	0.25	0.126984126984127	0.161764705882353	0.0606060606060606	0.32	0.12	0.269230769230769	0.0967741935483871	0.344827586206897	0.0909090909090909	0.75	0.388888888888889	0.214285714285714	-7	-1	49
133724	0	0.116279069767442	0.037037037037037	0.107142857142857	0.0317460317460317	0.0147058823529412	0	0.08	0.02	0.0384615384615385	0.0645161290322581	0.103448275862069	0	0.583333333333333	0.111111111111111	0.0714285714285714	-7	-1	49
133725	0.00970873786407767	0.162790697674419	0.222222222222222	0.107142857142857	0.0317460317460317	0.161764705882353	0.0606060606060606	0.32	0.18	0	0.0967741935483871	0.206896551724138	0.0454545454545455	0.333333333333333	0.277777777777778	0.214285714285714	-7	1	49
133726	0.058252427184466	0.372093023255814	0.407407407407407	0.285714285714286	0.126984126984127	0.308823529411765	0.0909090909090909	0.44	0.24	0.153846153846154	0.225806451612903	0.241379310344828	0.227272727272727	0.5	0.277777777777778	0.214285714285714	-7	-1	49
133727	0.0388349514563107	0.255813953488372	0.296296296296296	0.142857142857143	0.111111111111111	0.132352941176471	0.0606060606060606	0.48	0.22	0.115384615384615	0.129032258064516	0.241379310344828	0.0454545454545455	0.833333333333333	0.222222222222222	0.214285714285714	-7	-1	49
133728	0	0	0	0	0	0	0	0.04	0	0.0384615384615385	0	0.0689655172413793	0	0.166666666666667	0	0	-7	-1	49
133729	0	0.0232558139534884	0	0	0	0	0	0.04	0	0	0	0.0689655172413793	0	0.166666666666667	0	0	-7	-1	49
133730	0.00970873786407767	0.13953488372093	0	0.214285714285714	0	0.0735294117647059	0	0.04	0	0	0.161290322580645	0.103448275862069	0	0.666666666666667	0.222222222222222	0.142857142857143	-7	1	49
133731	0.0388349514563107	0.162790697674419	0.259259259259259	0.178571428571429	0.0952380952380952	0.147058823529412	0.0303030303030303	0.28	0.08	0.115384615384615	0.032258064516129	0.241379310344828	0	0.5	0.111111111111111	0	-7	1	49
133732	0.00970873786407767	0.0697674418604651	0	0.0357142857142857	0	0.102941176470588	0	0.2	0.02	0.0769230769230769	0	0.103448275862069	0	0.333333333333333	0.166666666666667	0	-7	-1	49
133733	0	0	0.037037037037037	0	0	0.0294117647058824	0	0	0	0	0	0.0689655172413793	0	0.5	0.0555555555555556	0	-7	1	49
