demo.CandID,de.Administration,de.Date_taken,de.Examiner,de.language1_parent1,de.language1_parent1_pct,de.language1_parent2,de.language1_parent2_pct,de.language2_parent1,de.language2_parent1_pct,de.language2_parent2,de.language3_parent1,de.language3_parent1_pct,de.language3_parent2
661045,All,2017-08-20,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270471,All,2018-08-17,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761141,All,2017-09-13,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601017,All,2017-08-25,Carolyn Lasch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981664,All,2017-08-31,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684448,All,2017-08-30,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234130,All,2017-08-28,Carolyn Lasch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676274,All,2017-08-30,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176851,All,2017-08-31,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590275,All,2017-09-05,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
933910,All,2017-09-05,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519250,All,2017-09-06,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826360,All,2017-09-13,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
908191,All,2017-09-13,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583494,All,2017-09-29,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495082,All,2017-10-18,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107842,All,2017-10-20,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740317,All,2017-11-07,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199865,All,2017-11-08,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522586,All,2017-11-08,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477045,All,2017-11-08,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204659,All,2017-11-08,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439999,All,2017-11-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637299,All,2017-11-15,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629130,All,2017-11-15,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627391,All,2017-11-17,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372377,All,2017-11-20,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
938316,All,2017-12-07,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439083,All,2018-01-26,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830201,All,2018-02-15,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722612,All,2018-02-19,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353374,All,2018-02-19,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469822,All,2018-02-26,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
617942,All,2018-03-07,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309615,All,2018-03-15,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309615,All,2018-03-15,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124529,All,2018-04-06,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706655,All,2018-02-12,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863856,All,2018-04-16,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380510,All,2018-04-20,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683462,All,2018-07-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
672698,All,2018-05-10,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710922,All,2018-05-03,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185373,All,2018-05-07,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
947206,All,2018-02-21,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
865762,All,2018-05-11,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706050,All,2018-05-15,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887679,All,2018-05-16,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866461,All,2018-06-06,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682023,All,2018-06-15,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439037,All,2018-06-18,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375518,All,2018-06-21,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884382,All,2018-06-22,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635515,All,2018-06-25,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261266,All,2018-07-05,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985303,All,2018-07-11,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240615,All,2018-07-09,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907184,All,2018-07-12,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522061,All,2018-07-20,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458050,All,2018-08-15,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
939043,All,2018-08-16,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943541,All,2018-08-17,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410729,All,2019-02-19,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410729,All,2019-02-19,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
914176,All,2018-09-11,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
