model,ID,age,ETA_L,ETA_S
3d,130869,18,-0.9,-0.299
3d,130870,18,-1.141,-0.297
3d,130871,18,-0.821,-0.241
3d,130872,18,-0.621,-0.241
3d,130873,18,-1.109,-0.27
3d,130874,18,-0.817,-0.274
3d,130875,18,-1.093,-0.247
3d,130876,18,0.511,0.509
3d,130877,18,-1.213,-0.293
3d,130878,18,-1.101,-0.228
3d,130879,18,-0.091,-0.105
3d,130880,18,-0.636,-0.221
3d,130881,18,-1.205,-0.274
3d,130882,18,-0.734,-0.216
3d,130883,18,-0.751,-0.216
3d,130884,18,-1.179,-0.293
3d,130885,18,-1.116,-0.214
3d,130886,18,-1.135,-0.297
3d,130887,18,-0.454,-0.127
3d,130888,18,0.46,-0.163
3d,130889,18,1.638,0.751
3d,130890,18,0.127,0.541
3d,130891,18,0.104,-0.183
3d,130892,18,0.398,-0.165
3d,130893,18,-1.009,-0.275
3d,130894,18,0.047,-0.058
3d,130895,18,0.249,-0.174
3d,130896,18,-1.128,-0.299
3d,130897,18,-1.07,-0.294
3d,130898,18,-1.157,-0.276
3d,130899,18,-1.152,-0.232
3d,130900,18,0.187,0.016
3d,130901,18,-1.141,-0.267
3d,130902,18,-0.527,-0.144
3d,130903,18,-0.708,-0.142
3d,130904,18,-0.832,-0.236
3d,130905,18,-1.11,-0.277
3d,130906,18,-0.448,-0.248
3d,130907,18,-1.038,-0.148
3d,130908,18,-0.865,-0.105
3d,130909,18,-0.48,-0.265
3d,130910,18,0.365,-0.041
3d,130911,18,-0.665,-0.079
3d,130912,18,-1.088,-0.199
3d,130913,18,-0.853,-0.164
3d,130914,18,-1.069,-0.217
3d,130915,18,-0.882,-0.151
3d,130916,18,-0.274,-0.182
3d,130917,18,-0.519,-0.22
3d,130918,18,-0.883,-0.156
3d,130919,18,-1.119,-0.181
3d,130920,18,-1.149,-0.23
3d,130921,18,-0.688,-0.264
3d,130922,18,-0.745,-0.221
3d,130923,18,-1.133,-0.259
3d,130924,18,0.574,0.253
3d,130925,18,-0.015,-0.161
3d,130926,18,-0.626,-0.135
3d,130927,19,-0.102,-0.036
3d,130928,19,-1.083,-0.285
3d,130929,19,0.147,-0.258
3d,130930,19,-1.16,-0.372
3d,130931,19,0.036,0.216
3d,130932,19,-1.208,-0.374
3d,130933,19,-0.938,-0.17
3d,130934,19,-1.066,-0.349
3d,130935,19,-1.193,-0.374
3d,130936,19,-0.549,-0.036
3d,130937,19,0.129,-0.113
3d,130938,19,-0.982,-0.191
3d,130939,19,0.145,-0.006
3d,130940,19,1.256,0.263
3d,130941,19,-1.02,-0.349
3d,130942,19,-0.841,-0.317
3d,130943,19,-1.209,-0.367
3d,130944,19,-1.207,-0.372
3d,130945,19,-0.771,-0.337
3d,130946,19,-1.232,-0.372
3d,130947,19,-0.484,-0.185
3d,130948,19,-1.102,-0.307
3d,130949,19,-1.027,-0.029
3d,130950,19,-1.085,-0.288
3d,130951,19,-0.966,-0.206
3d,130952,19,-0.385,-0.3
3d,130953,19,-1.18,-0.367
3d,130954,19,-0.579,-0.054
3d,130955,19,-0.358,-0.329
3d,130956,19,-1.226,-0.372
3d,130957,19,-0.463,-0.13
3d,130958,19,-1.277,-0.37
3d,130959,19,0.217,-0.237
3d,130960,19,-1.058,-0.243
3d,130961,19,-1.118,-0.374
3d,130962,19,-0.975,-0.313
3d,130963,19,-1.23,-0.337
3d,130964,19,-0.73,-0.273
3d,130965,19,-1.244,-0.262
3d,130966,19,-0.111,-0.084
3d,130967,19,-1.09,-0.332
3d,130968,19,-0.906,-0.309
3d,130969,19,-0.828,-0.332
3d,130970,19,-1.177,-0.367
3d,130971,20,-0.208,0.111
3d,130972,20,-0.9,-0.422
3d,130973,20,0.256,-0.061
3d,130974,20,1.431,1.181
3d,130975,20,-1.106,-0.419
3d,130976,20,0.924,0.594
3d,130977,20,-0.941,-0.419
3d,130978,20,-1.197,-0.419
3d,130979,20,-0.827,-0.363
3d,130980,20,-1.208,-0.386
3d,130981,20,0.926,0.717
3d,130982,20,-1.179,-0.407
3d,130983,20,-1.173,-0.412
3d,130984,20,-1.066,-0.406
3d,130985,20,-0.139,-0.16
3d,130986,20,0.171,-0.222
3d,130987,20,-1.275,-0.442
3d,130988,20,-1.017,-0.317
3d,130989,20,1.863,2.618
3d,130990,20,-0.698,-0.386
3d,130991,20,-0.398,-0.247
3d,130992,20,-0.926,-0.43
3d,130993,20,-1.126,-0.445
3d,130994,20,-0.921,-0.425
3d,130995,20,-1.083,-0.419
3d,130996,20,-0.843,-0.384
3d,130997,20,0.971,0.001
3d,130998,20,-0.977,-0.415
3d,130999,20,-0.403,-0.384
3d,131000,20,0.612,0.406
3d,131001,21,-1.302,-0.442
3d,131002,21,-1.214,-0.491
3d,131003,21,-1.203,-0.441
3d,131004,21,0.559,-0.189
3d,131005,21,-1.438,-0.518
3d,131006,21,-0.932,-0.373
3d,131007,21,-1.415,-0.518
3d,131008,21,-1.091,-0.428
3d,131009,21,-0.622,-0.338
3d,131010,22,-0.438,-0.463
3d,131011,22,-0.579,-0.406
3d,131012,22,1.219,0.577
3d,131013,22,1.036,0.68
3d,131014,22,1.793,2.12
3d,131015,22,0.992,0.358
3d,131016,22,-0.907,-0.534
3d,131017,22,-1.208,-0.545
3d,131018,22,0.828,0.081
3d,131019,23,0.216,-0.033
3d,131020,23,-0.485,-0.477
3d,131021,23,-1.181,-0.526
3d,131022,23,0.322,0.166
3d,131023,23,-1.09,-0.606
3d,131024,23,1.36,1.296
3d,131025,23,0.361,0.005
3d,131026,23,-0.703,-0.185
3d,131027,23,1.221,0.779
3d,131028,23,1.514,0.787
3d,131029,23,-0.477,-0.386
3d,131030,23,1.222,1.709
3d,131031,23,-1.464,-0.541
3d,131032,23,-1.04,-0.602
3d,131033,23,-0.217,-0.127
3d,131034,23,-0.668,-0.446
3d,131035,23,-1.44,-0.659
3d,131036,23,0.782,0.341
3d,131037,23,-0.919,-0.391
3d,131038,23,0.885,-0.187
3d,131039,23,0.222,0.194
3d,131040,23,-0.346,-0.471
3d,131041,24,0.79,0.06
3d,131042,24,0.671,0.756
3d,131043,24,0.792,1.092
3d,131044,24,0.158,-0.186
3d,131045,24,0.173,0.209
3d,131046,24,-0.749,-0.666
3d,131047,24,-0.292,-0.437
3d,131048,24,1.185,0
3d,131049,24,-0.881,-0.598
3d,131050,24,-0.492,-0.464
3d,131051,24,0.774,1.356
3d,131052,24,-0.86,-0.563
3d,131053,24,0.609,0.117
3d,131054,24,-1.358,-0.63
3d,131055,24,0.625,0.695
3d,131056,24,-0.9,-0.674
3d,131057,24,0.601,0.159
3d,131058,24,0.118,-0.302
3d,131059,24,1.755,2.611
3d,131060,24,-0.843,-0.513
3d,131061,24,-1.171,-0.694
3d,131062,24,0.932,0.021
3d,131063,24,0.073,-0.273
3d,131064,24,-1.453,-0.639
3d,131065,24,-1.411,-0.694
3d,131066,24,-1.133,-0.645
3d,131067,24,-0.677,-0.596
3d,131068,24,0.608,-0.27
3d,131069,24,0.335,0.248
3d,131070,24,1.366,1.194
3d,131071,24,0.533,0.104
3d,131072,24,-0.934,-0.487
3d,131073,24,-0.741,-0.303
3d,131074,24,1.346,0.903
3d,131075,24,-1.533,-0.733
3d,131076,24,1.183,0.598
3d,131077,24,-1.078,-0.497
3d,131078,24,-0.927,-0.697
3d,131079,24,-0.747,-0.436
3d,131080,24,-0.534,-0.489
3d,131081,24,0.7,1.455
3d,131082,24,1.236,1.513
3d,131083,24,0.861,0.764
3d,131084,24,-0.9,-0.469
3d,131085,24,-1.043,-0.625
3d,131086,24,-0.96,-0.503
3d,131087,24,-1.05,-0.505
3d,131088,24,1.563,1.893
3d,131089,24,0.893,1.556
3d,131090,24,-0.691,-0.413
3d,131091,24,-0.313,-0.546
3d,131092,24,0.382,0.16
3d,131093,24,0.408,-0.233
3d,131094,24,-1.398,-0.626
3d,131095,24,0.354,0.22
3d,131096,24,0.373,0.036
3d,131097,24,0.771,-0.462
3d,131098,24,1.128,0.616
3d,131099,24,-0.847,-0.594
3d,131100,24,-0.821,-0.555
3d,131101,24,0.689,-0.134
3d,131102,24,-0.272,-0.275
3d,131103,24,-0.567,-0.285
3d,131104,24,-0.107,-0.57
3d,131105,24,0.388,-0.294
3d,131106,24,1.228,1.109
3d,131107,24,-1.392,-0.739
3d,131108,24,0.981,0.333
3d,131109,24,-0.027,-0.63
3d,131110,24,1.84,2.618
3d,131111,24,-0.525,-0.458
3d,131112,24,-0.122,-0.627
3d,131113,24,-1.166,-0.291
3d,131114,24,-0.119,-0.254
3d,131115,24,-0.886,-0.522
3d,131116,24,0.833,0.525
3d,131117,24,-1.392,-0.63
3d,131118,24,0.462,0.182
3d,131119,24,1.836,1.715
3d,131120,24,0.221,-0.715
3d,131121,24,-0.977,-0.676
3d,131122,24,0.076,-0.216
3d,131123,24,0.165,-0.318
3d,131124,24,-1.453,-0.619
3d,131125,24,0.972,-0.434
3d,131126,25,1.075,0.36
3d,131127,25,-1.589,-0.778
3d,131128,25,1.118,0.038
3d,131129,25,1.354,2.47
3d,131130,25,0.124,-0.752
3d,131131,25,-1.457,-0.724
3d,131132,25,-0.063,-0.709
3d,131133,25,0.088,-0.698
3d,131134,25,-1.669,-0.804
3d,131135,25,-0.15,0.287
3d,131136,25,-1.46,-0.772
3d,131137,25,1.246,0.832
3d,131138,25,-0.431,-0.521
3d,131139,25,-0.405,-0.662
3d,131140,25,1.253,0.29
3d,131141,25,-0.395,-0.601
3d,131142,25,-0.897,-0.654
3d,131143,25,-0.797,-0.648
3d,131144,25,-0.278,-0.517
3d,131145,25,0.998,0.07
3d,131146,25,-0.376,-0.641
3d,131147,25,-1.304,-0.754
3d,131148,25,-0.306,0.143
3d,131149,25,0.621,1.065
3d,131150,25,-0.734,-0.761
3d,131151,25,0.32,-0.404
3d,131152,25,0.436,0.276
3d,131153,26,-0.262,-0.084
3d,131154,26,-0.916,-0.258
3d,131155,26,1.506,2.159
3d,131156,26,1.667,1.453
3d,131157,26,0.418,-0.369
3d,131158,26,1.348,1.302
3d,131159,26,0.556,-0.287
3d,131160,26,1.584,1.746
3d,131161,26,1.706,2.425
3d,131162,26,0.83,0.388
3d,131163,26,-0.522,-0.179
3d,131164,27,0.108,-0.459
3d,131165,27,-0.159,-0.329
3d,131166,27,1.458,1.436
3d,131167,27,-0.445,-0.29
3d,131168,27,1.612,2.259
3d,131169,27,-0.642,-0.37
3d,131170,27,-0.158,-0.247
3d,131171,27,0.568,0.577
3d,131172,27,-1.193,-0.5
3d,131173,27,-0.115,0.003
3d,131174,27,1.178,1.172
3d,131175,27,0.998,0.775
3d,131176,27,0.506,0.492
3d,131177,27,1.168,0.43
3d,131178,27,-1.309,-0.793
3d,131179,28,-0.655,-0.747
3d,131180,28,-1.363,-0.866
3d,131181,28,0.992,0.478
3d,131182,28,0.957,0.618
3d,131183,28,0.949,0.485
3d,131184,28,0.446,0.417
3d,131185,28,-1.49,-0.965
3d,131186,28,1.21,1.227
3d,131187,28,0.209,0.062
3d,131188,28,1.554,2.379
3d,131189,29,1.031,-0.114
3d,131190,29,-1.428,-0.901
3d,131191,29,1.444,2.139
3d,131192,29,-1.82,-1.041
3d,131193,29,0.299,-0.583
3d,131194,30,1.295,0.891
3d,131195,30,0.782,-0.315
3d,131196,30,0.215,-0.031
3d,131197,30,0.786,0.693
3d,131198,30,1.455,2.086
3d,131199,30,1.079,0.375
3d,131200,30,0.397,0.265
3d,131201,30,1.025,0.772
3d,131202,30,0.473,0.839
3d,131203,30,1.268,1.651
3d,131204,30,0.549,1.097
3d,131205,30,1.033,0.638
3d,131206,30,0.261,-0.298
3d,131207,30,0.483,0.766
3d,131208,30,-0.022,-0.664
3d,131209,30,0.85,0.597
3d,131210,30,0.613,1.314
3d,131211,30,1.253,1.565
3d,131212,30,0.814,1.252
3d,131213,30,0.82,0.698
3d,131214,30,0.266,-0.059
3d,131215,30,1.445,2.06
3d,131216,30,1.372,1.351
3d,131247,18,-0.459,-0.229
3d,131248,25,0.446,0.336
3d,131249,29,1.007,1.871
3d,131250,27,-1.038,-0.836
3d,131251,30,0.413,0.078
3d,131252,19,-1.057,-0.318
3d,131253,27,-0.269,-0.212
3d,131254,19,-0.824,-0.119
3d,131255,25,0.349,-0.307
3d,131256,18,-1.113,-0.299
3d,131257,24,-0.699,-0.682
3d,131259,18,0.025,0.011
3d,131260,25,0.953,1.131
3d,131261,30,1.086,1.969
3d,131262,18,-0.91,-0.297
3d,131263,24,0.741,-0.503
3d,131264,30,0.911,-0.862
3d,131265,25,1.748,2.507
3d,131266,18,-0.558,-0.087
3d,131267,24,0.985,0.642
3d,131268,30,1.4,2.132
3d,131269,18,-1.085,-0.134
3d,131270,24,-1.256,-0.57
3d,131271,30,-0.017,0.011
3d,131272,18,-0.19,0.216
3d,131273,26,1.407,1.985
3d,131274,18,1.607,1.375
3d,131276,24,1.052,0.235
3d,131278,19,1.541,0.332
3d,131279,24,1.66,2.238
3d,131280,23,1.005,-0.237
3d,131281,20,-1.202,-0.35
3d,131282,24,-0.969,-0.515
3d,131284,28,1.083,-0.037
3d,131285,25,-0.191,-0.245
3d,131286,30,1.045,0.512
3d,131287,29,1.027,0.047
3d,131288,19,-0.476,-0.231
3d,131289,18,-1.094,-0.251
3d,131290,24,-0.571,-0.592
3d,131291,30,1.39,1.117
3d,131292,19,0.904,0.031
3d,131293,25,0.75,0.274
3d,131296,23,-0.301,-0.45
3d,131297,30,1.084,0.918
3d,131298,24,-1.56,-0.68
3d,131299,30,-1.138,-0.761
3d,131300,24,0.496,-0.356
3d,131302,23,1.167,0.523
3d,131303,20,-0.268,-0.105
3d,131304,18,-0.81,-0.228
3d,131305,30,1.152,1.434
3d,131306,25,0.069,-0.198
3d,131307,30,0.827,0.249
3d,131308,25,1.31,0.38
3d,131310,24,-0.114,-0.546
3d,131312,19,-1.237,-0.351
3d,131313,24,-1.284,-0.419
3d,131315,20,-0.224,-0.247
3d,131316,24,0.335,0.079
3d,131318,19,0.953,0.261
3d,131319,24,0.132,-0.163
3d,131320,19,-0.957,-0.3
3d,131321,24,0.799,0.243
3d,131322,30,1.342,1.586
3d,131323,25,0.804,0.854
3d,131324,30,-0.911,0.889
3d,131325,20,0.625,-0.04
3d,131326,25,1.175,0.005
3d,131327,18,-0.462,-0.18
3d,131328,24,0.695,-0.243
3d,131329,30,0.839,-0.356
3d,131330,24,0.438,0.17
3d,131331,24,-1.245,-0.417
3d,131332,20,-0.94,-0.19
3d,131333,24,-0.675,0.158
3d,131334,19,0.416,-0.051
3d,131335,25,1.553,1.612
3d,131336,30,1.332,1.817
3d,131337,24,-0.615,-0.543
3d,131338,29,-0.317,-0.616
3d,131339,25,-1.375,-0.759
3d,131341,25,-1.517,-0.77
3d,131342,19,-0.681,-0.309
3d,131343,25,0.374,0.26
3d,131345,30,0.704,0.182
3d,131346,24,0.65,1.031
3d,131347,25,0.157,0.488
3d,131349,25,1.657,1.891
3d,131351,18,-0.378,0.042
3d,131352,24,-0.185,0.328
3d,131353,30,0.543,0.684
3d,131354,18,-0.92,-0.302
3d,131355,24,0.693,0.113
3d,131356,30,1.092,0.712
3d,131357,24,0.263,-0.118
3d,131358,30,1.194,0.517
3d,131359,25,0.684,-0.546
3d,131361,18,-0.681,-0.281
3d,131362,24,0.401,0.216
3d,131363,25,-1.091,-0.702
3d,131364,30,0.067,-0.433
3d,131365,30,0.704,1.483
3d,131366,19,0.739,0.281
3d,131367,30,1.286,2.137
3d,131368,18,-0.558,-0.192
3d,131369,30,1.135,1.159
3d,131370,25,-0.677,-0.736
3d,131372,18,-0.229,-0.271
3d,131373,25,1.53,0.975
3d,131374,18,-0.934,-0.294
3d,131375,24,0.555,-0.233
3d,131376,30,1.394,0.888
3d,131377,19,0.26,-0.189
3d,131378,30,0.976,0.328
3d,131379,22,1.583,1.24
3d,131380,29,1.43,2.248
3d,131381,18,0.206,-0.21
3d,131382,30,0.968,0.066
3d,131383,18,-0.636,-0.248
3d,131384,24,0.56,-0.189
3d,131386,20,-0.876,-0.136
3d,131387,25,0.796,0.305
3d,131388,19,-0.01,0.056
3d,131389,24,0.797,0.95
3d,131390,30,1.1,1.942
3d,131391,26,0.434,-0.195
3d,131392,30,1.258,1.902
3d,131393,22,-0.392,-0.467
3d,131394,18,-1.135,-0.274
3d,131395,23,-0.834,-0.205
3d,131396,30,0.492,1.297
3d,131397,18,0.125,0.192
3d,131398,24,1.352,1.502
3d,131400,18,-0.846,-0.235
3d,131401,25,-0.588,-0.518
3d,131402,29,-0.887,-0.178
3d,131403,19,0.148,-0.094
3d,131404,25,1.237,0.698
3d,131405,19,-1.017,-0.259
3d,131406,25,1.631,1.01
3d,131407,30,1.402,1.185
3d,131408,18,-0.751,-0.253
3d,131409,25,0.721,0.611
3d,131410,29,1.275,2.005
3d,131411,19,-0.786,-0.156
3d,131412,25,-0.435,-0.544
3d,131414,18,0.059,0.049
3d,131416,18,-1.021,-0.205
3d,131417,24,-1.316,-0.598
3d,131418,30,0.217,-0.094
3d,131419,18,-0.509,-0.082
3d,131420,25,0.546,-0.438
3d,131421,30,1.014,0.817
3d,131422,18,-0.598,-0.135
3d,131423,24,1.118,0.933
3d,131424,30,1.294,2.164
3d,131425,17,-0.46,0.001
3d,131426,22,0.069,-0.279
3d,131427,29,1.194,1.124
3d,131428,27,1.04,1.647
3d,131429,18,-0.432,-0.213
3d,131430,24,1.344,1.08
3d,131431,25,0.365,-0.454
3d,131432,30,0.94,1.547
3d,131433,18,0.381,0.256
3d,131434,26,0.976,0.935
3d,131435,18,-1.119,-0.271
3d,131436,23,-1.01,-0.465
3d,131438,18,1.401,-0.152
3d,131439,24,1.597,0.343
3d,131440,21,0.402,-0.066
3d,131441,24,0.417,0.097
3d,131442,29,0.153,0.364
3d,131443,18,-1.031,-0.243
3d,131444,24,-1.031,-0.416
3d,131445,30,-0.367,-0.388
3d,131446,18,-0.745,-0.164
3d,131447,24,-0.621,-0.389
3d,131448,30,-0.187,-0.373
3d,131449,20,-0.48,-0.261
3d,131450,18,0.319,0.275
3d,131451,24,1.066,1.24
3d,131452,29,1.273,1.623
3d,131453,19,-0.299,-0.308
3d,131454,24,1.252,0.392
3d,131455,30,0.615,1.894
3d,131456,24,-0.162,-0.196
3d,131457,30,0.341,-0.192
3d,131458,18,1.662,0.833
3d,131459,24,1.723,2.713
3d,131460,24,1.672,1.618
3d,131461,20,-1.076,-0.41
3d,131462,26,-1.126,-0.849
3d,131463,18,0.134,0.012
3d,131464,28,1.03,0.535
3d,131465,20,-1.078,-0.394
3d,131467,18,-1.122,-0.275
3d,131468,22,-0.085,0.143
3d,131469,29,1.498,1.651
3d,131470,18,-0.74,-0.259
3d,131471,22,-0.052,-0.376
3d,131472,30,0.984,0.672
3d,131473,27,-0.59,-0.31
3d,131474,18,-0.991,-0.262
3d,131475,24,-0.242,-0.402
3d,131476,30,1.369,1.541
3d,131477,18,-0.642,-0.092
3d,131478,27,0.364,0.523
3d,131479,26,0.015,-0.639
3d,131480,26,-0.548,-0.684
3d,131482,24,0.822,0.14
3d,131483,18,-1.009,-0.211
3d,131484,21,-0.853,-0.397
3d,131485,29,0.486,0.459
3d,131486,30,0.867,0.151
3d,131487,19,-0.678,-0.228
3d,131488,25,0.049,-0.498
3d,131490,24,0.431,-0.364
3d,131491,30,0.69,0.456
3d,131492,24,-1.108,-0.686
3d,131493,30,-0.361,-0.963
3d,131494,24,-0.52,-0.523
3d,131495,30,0.116,-0.579
3d,131496,19,-0.772,-0.263
3d,131497,26,0.994,0.381
3d,131498,24,0.194,0.111
3d,131500,25,1.104,1.217
3d,131501,30,1.231,1.016
3d,131502,24,-1.029,-0.699
3d,131503,19,-1.048,-0.315
3d,131505,18,0.125,-0.188
3d,131506,24,1.303,1.184
3d,131507,30,1.33,1.806
3d,131508,19,-1.214,-0.372
3d,131509,23,0.36,-0.402
3d,131510,26,0.567,0.521
3d,131511,24,-0.045,0.398
3d,131512,18,-0.489,-0.226
3d,131513,24,0.912,0.59
3d,131515,20,0.655,-0.101
3d,131516,24,1.556,1.151
3d,131518,20,0.284,0.305
3d,131519,25,0.736,0.626
3d,131520,25,0.685,0.167
3d,131521,28,1.098,0.478
3d,131522,24,1.418,0.942
3d,131523,24,-0.991,-0.49
3d,131524,19,-0.85,-0.281
3d,131525,24,0.191,-0.32
3d,131527,19,-0.732,-0.251
3d,131528,24,0.085,0.504
3d,131529,22,0.7,0.582
3d,131530,30,1.263,1.614
3d,131531,19,-0.012,-0.2
3d,131532,25,0.866,0.331
3d,131533,30,1.198,1.148
3d,131534,19,1.352,0.338
3d,131535,24,1.816,1.848
3d,131536,24,-0.119,-0.244
3d,131537,30,1.021,0.69
3d,131538,18,-0.789,-0.247
3d,131539,26,0.166,-0.498
3d,131540,30,0.725,-0.094
3d,131541,28,-1.386,-0.734
3d,131543,30,1.036,1.341
3d,131544,28,1.536,1.829
3d,131545,25,1.418,0.98
3d,131546,18,-0.685,-0.204
3d,131547,24,0.263,-0.164
3d,131548,30,0.792,0.477
3d,131549,19,0.904,0.444
3d,131550,26,1.532,2.078
3d,131551,18,-0.466,-0.163
3d,131552,24,1.525,1.443
3d,131553,19,0.03,-0.248
3d,131554,24,1.218,0.213
3d,131555,30,1.2,1.048
3d,131556,18,0.18,0.262
3d,131557,24,-0.121,-0.06
3d,131558,28,0.754,1.445
3d,131559,18,-1.221,-0.251
3d,131560,22,-1.43,-0.483
3d,131561,29,-0.733,-0.873
3d,131562,24,1.211,0.346
3d,131563,25,1.023,1.001
3d,131564,17,-0.112,0.146
3d,131565,25,1.648,2.363
3d,131566,29,1.347,2.175
3d,131567,19,0.018,0.042
3d,131568,25,1.066,0.976
3d,131570,19,-0.937,-0.205
3d,131571,19,-0.735,-0.114
3d,131572,18,-0.756,-0.212
3d,131573,24,0.504,0.729
3d,131574,30,0.731,1.07
3d,131575,19,-0.832,-0.263
3d,131577,22,0.162,0.151
3d,131578,30,1.328,1.801
3d,131579,19,0.199,-0.148
3d,131580,25,1.267,1.342
3d,131581,21,0.026,-0.185
3d,131583,25,1.784,1.456
3d,131584,19,0.765,-0.264
3d,131585,18,-0.54,-0.025
3d,131586,29,1.072,1.074
3d,131587,19,-0.29,-0.179
3d,131588,18,0.114,-0.144
3d,131589,24,1.461,0.604
3d,131590,30,1.263,1.986
3d,131591,25,-0.643,-0.632
3d,131592,24,-1.498,-0.715
3d,131593,19,-0.748,-0.299
3d,131594,24,1.118,0.277
3d,131596,24,0.727,-0.087
3d,131597,30,0.876,0.627
3d,131598,24,0.073,-0.332
3d,131599,19,0.177,-0.073
3d,131600,25,1.18,-0.449
3d,131602,18,-0.546,-0.265
3d,131603,30,1.292,0.379
3d,131604,19,-0.104,-0.224
3d,131605,25,0.536,0.039
3d,131606,24,1.13,0.983
3d,131607,23,1.474,1.88
3d,131609,25,0.841,0.702
3d,131610,30,0.951,0.713
3d,131611,19,-1.248,-0.321
3d,131612,24,-1.481,-0.734
3d,131614,19,-0.365,0.098
3d,131615,24,1.083,0.415
3d,131616,30,1.396,1.891
3d,131617,18,-0.839,-0.214
3d,131618,24,0.087,-0.13
3d,131619,18,1.183,0.216
3d,131620,24,1.377,1.234
3d,131621,29,1.324,2.17
3d,131622,19,-1.106,-0.303
3d,131623,24,0.524,0.311
3d,131624,18,-0.198,-0.034
3d,131625,24,1.042,0.392
3d,131626,26,1.518,2.217
3d,131628,20,-0.191,-0.11
3d,131629,25,1.363,0.814
3d,131630,18,0.324,-0.048
3d,131631,24,1.288,0.09
3d,131632,30,1.324,2.102
3d,131633,20,1.953,1.422
3d,131634,24,0.735,0.689
3d,131635,30,1.236,1.801
3d,131636,20,0.069,-0.238
3d,131637,18,-0.744,-0.215
3d,131638,25,0.154,-0.293
3d,131639,30,1.031,0.698
3d,131640,24,-0.15,-0.543
3d,131642,24,-0.076,-0.033
3d,131643,20,-1.171,-0.391
3d,131644,25,0.124,0.054
3d,131645,24,1.255,0.928
3d,131646,18,-0.971,-0.277
3d,131647,18,-0.121,-0.182
3d,131648,25,0.827,0.188
3d,131650,22,1.067,0.596
3d,131652,20,-0.196,-0.275
3d,131653,24,0.564,-0.096
3d,131654,30,1.076,1.768
3d,131655,18,-0.556,-0.136
3d,131656,24,1.474,0.85
3d,131657,30,1.412,1.945
3d,131658,18,-0.818,-0.259
3d,131659,24,1.694,1.27
3d,131660,25,0.454,0.107
3d,131662,25,0.432,0.02
3d,131664,19,-0.766,-0.337
3d,131665,24,0.67,0.291
3d,131667,18,-1.178,-0.293
3d,131668,18,0.754,0.119
3d,131669,24,1.398,1.874
3d,131670,30,1.178,1.965
3d,131671,19,0.139,-0.316
3d,131672,26,0.868,0.038
3d,131674,18,-1.2,-0.271
3d,131675,26,-0.869,-0.123
3d,131677,26,-0.168,-0.231
3d,131678,26,0.95,0.237
3d,131679,18,-0.699,-0.241
3d,131680,25,0.016,-0.472
3d,131681,30,0.6,-0.161
3d,131682,25,1.757,1.893
3d,131684,24,0.939,0.105
3d,131685,18,-1.085,-0.274
3d,131686,18,-1.133,-0.263
3d,131687,25,0.681,0.463
3d,131689,21,-0.76,-0.36
3d,131690,29,0.273,-0.232
3d,131691,25,0.065,-0.34
3d,131692,30,0.612,-0.278
3d,131693,18,0.083,-0.061
3d,131694,24,0.65,0.486
3d,131695,24,-0.125,-0.183
3d,131697,18,-0.913,-0.2
3d,131698,28,-0.033,-0.023
3d,131699,19,-1.175,-0.37
3d,131700,24,-1.274,-0.685
3d,131702,18,-0.01,-0.116
3d,131703,24,1.13,0.391
3d,131704,30,1.187,1.155
3d,131705,24,-1.322,-0.29
3d,131707,18,-0.264,-0.285
3d,131708,24,0.059,-0.164
3d,131709,30,0.296,0.145
3d,131710,18,0.374,-0.017
3d,131711,24,1.415,0.905
3d,131712,30,1.317,2.115
3d,131713,19,0.569,-0.178
3d,131714,24,1.261,1.14
3d,131715,20,0.649,-0.121
3d,131716,24,1.314,0.536
3d,131717,25,1.442,1.51
3d,131718,30,1.233,1.615
3d,131719,24,1.208,0.564
3d,131721,24,-0.549,-0.483
3d,131722,25,1.41,0.321
3d,131723,18,0.118,0.021
3d,131724,19,-0.839,-0.124
3d,131725,25,0.359,-0.272
3d,131726,24,-1.249,-0.613
3d,131727,30,-0.524,-0.886
3d,131728,18,0.26,0.037
3d,131729,24,1.407,1.242
3d,131730,29,1.189,1.924
3d,131731,18,-0.456,-0.184
3d,131732,24,0.661,0.728
3d,131733,23,-0.628,-0.579
3d,131734,26,1.329,1.949
3d,131736,19,-1.071,-0.289
3d,131737,25,1.479,1.115
3d,131738,30,1.321,1.617
3d,131739,30,0.6,-0.351
3d,131743,18,-0.924,-0.241
3d,131744,24,0.33,-0.6
3d,131745,30,0.876,1.481
3d,131746,24,0.836,-0.492
3d,131747,30,1.36,0.866
3d,131748,18,0.13,-0.102
3d,131749,29,1.386,2.229
3d,131750,19,0.441,-0.036
3d,131751,24,1.558,1.485
3d,131752,30,1.356,1.807
3d,131753,18,-0.559,-0.19
3d,131754,24,0.815,0.179
3d,131755,30,0.865,0.894
3d,131756,19,-1.216,-0.293
3d,131757,29,1.037,-0.106
3d,131758,18,1.234,1.076
3d,131760,24,-0.225,-0.453
3d,131761,25,-1.207,-0.54
3d,131762,24,-0.807,-0.407
3d,131764,26,0.434,-0.095
3d,131765,29,1.053,0.406
3d,131766,26,-0.521,-0.59
3d,131767,24,-1.577,-0.692
3d,131769,18,-0.749,0.052
3d,131770,24,0.982,1.547
3d,131771,19,-1.275,-0.351
3d,131772,25,0.281,-0.503
3d,131774,28,0.537,0.048
3d,131775,19,0.883,0.333
3d,131776,20,-1.118,-0.265
3d,131778,19,-1.037,-0.293
3d,131780,18,-0.776,-0.227
