ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_AGE_C2	D_MALE	D_FIRSTB	D_MOMCOL	D_AGESEX	D_AG2SEX
130035	0	0.0465116279069767	0.0740740740740741	0.0714285714285714	0	0.0294117647058824	0.0303030303030303	0.2	0.02	0.115384615384615	0.032258064516129	0.206896551724138	0	0.25	0.166666666666667	0.0714285714285714	-6	36	1	1	-1	-6	36
130036	0.00970873786407767	0.116279069767442	0.185185185185185	0	0.0158730158730159	0.0441176470588235	0	0.56	0.02	0	0.032258064516129	0.275862068965517	0	0.75	0.166666666666667	0.285714285714286	-6	36	1	1	1	-6	36
130038	0.242718446601942	0.581395348837209	0.555555555555556	0.392857142857143	0.412698412698413	0.573529411764706	0.151515151515152	0.6	0.38	0.269230769230769	0.258064516129032	0.344827586206897	0.181818181818182	0.916666666666667	0.5	0.5	-6	36	-1	1	1	6	-36
130039	0.00970873786407767	0.0697674418604651	0	0.0714285714285714	0.0158730158730159	0.102941176470588	0	0.28	0	0.0769230769230769	0	0.137931034482759	0	0.166666666666667	0	0	-6	36	-1	1	-1	6	-36
130040	0.0776699029126214	0.209302325581395	0.185185185185185	0.142857142857143	0.0476190476190476	0.235294117647059	0.121212121212121	0.32	0.16	0.192307692307692	0.129032258064516	0.241379310344828	0	0.5	0.277777777777778	0.285714285714286	-6	36	1	-1	-1	-6	36
130041	0.029126213592233	0.186046511627907	0.703703703703704	0.178571428571429	0.0793650793650794	0.102941176470588	0	0.36	0.16	0.115384615384615	0.0967741935483871	0.241379310344828	0	0.666666666666667	0.111111111111111	0.0714285714285714	-6	36	-1	-1	-1	6	-36
130042	0.058252427184466	0.209302325581395	0.666666666666667	0.178571428571429	0.0952380952380952	0.205882352941176	0	0.52	0.22	0.0769230769230769	0.161290322580645	0.275862068965517	0.0454545454545455	0.583333333333333	0.333333333333333	0.142857142857143	-7	49	-1	1	1	7	-49
130043	0.0194174757281553	0.209302325581395	0.148148148148148	0.178571428571429	0.0634920634920635	0.0588235294117647	0.0303030303030303	0.24	0.12	0.115384615384615	0.032258064516129	0.275862068965517	0.0909090909090909	0.416666666666667	0.277777777777778	0.357142857142857	-5	25	1	-1	1	-5	25
130044	0.058252427184466	0.27906976744186	0.444444444444444	0.285714285714286	0.126984126984127	0.147058823529412	0.181818181818182	0.36	0.2	0.0769230769230769	0.258064516129032	0.275862068965517	0.0909090909090909	0.583333333333333	0.333333333333333	0.428571428571429	-5	25	-1	1	-1	5	-25
130045	0.135922330097087	0.395348837209302	0.62962962962963	0.214285714285714	0.317460317460317	0.264705882352941	0.121212121212121	0.52	0.28	0.153846153846154	0.548387096774194	0.344827586206897	0.181818181818182	0.75	0.388888888888889	0.357142857142857	-5	25	-1	-1	1	5	-25
130046	0.0194174757281553	0.186046511627907	0.111111111111111	0.107142857142857	0.0317460317460317	0.0882352941176471	0.0606060606060606	0.24	0.08	0.153846153846154	0.0967741935483871	0.172413793103448	0.0454545454545455	0.166666666666667	0.111111111111111	0.142857142857143	-6	36	1	1	1	-6	36
130047	0.572815533980582	0.720930232558139	1	1	0.380952380952381	0.75	0.939393939393939	1	0.9	0.461538461538462	0.870967741935484	0.551724137931034	0.590909090909091	1	0.777777777777778	0.857142857142857	-5	25	-1	1	1	5	-25
130048	0.0194174757281553	0.0232558139534884	0.037037037037037	0	0.0476190476190476	0	0	0.28	0	0	0	0.137931034482759	0	0.5	0	0	-6	36	1	1	1	-6	36
130049	0	0.0232558139534884	0.037037037037037	0.0357142857142857	0.0476190476190476	0.0735294117647059	0	0.08	0.04	0.0384615384615385	0	0.172413793103448	0	0.666666666666667	0	0	-6	36	1	-1	-1	-6	36
130050	0.087378640776699	0.186046511627907	0.259259259259259	0.107142857142857	0.0952380952380952	0.191176470588235	0.0303030303030303	0.32	0.12	0	0.129032258064516	0.241379310344828	0.0909090909090909	0.25	0.388888888888889	0.0714285714285714	-7	49	-1	-1	-1	7	-49
130051	0.00970873786407767	0.0232558139534884	0	0	0.0317460317460317	0.0294117647058824	0	0.2	0	0.0384615384615385	0	0.103448275862069	0	0.416666666666667	0.111111111111111	0	-7	49	1	-1	-1	-7	49
130052	0.747572815533981	0.86046511627907	0.740740740740741	0.607142857142857	0.761904761904762	0.691176470588235	0.727272727272727	0.88	0.74	0.576923076923077	0.612903225806452	0.758620689655172	0.590909090909091	1	0.833333333333333	0.785714285714286	5	25	1	1	1	5	25
130053	0.242718446601942	0.767441860465116	0.777777777777778	0.678571428571429	0.222222222222222	0.720588235294118	0.454545454545455	0.52	0.6	0.269230769230769	0.548387096774194	0.517241379310345	0.318181818181818	0.916666666666667	0.722222222222222	0.785714285714286	5	25	-1	1	1	-5	-25
130054	0.553398058252427	0.674418604651163	0.62962962962963	0.678571428571429	0.444444444444444	0.691176470588235	0.363636363636364	0.64	0.72	0.423076923076923	0.67741935483871	0.586206896551724	0.5	0.833333333333333	0.777777777777778	0.785714285714286	5	25	1	-1	1	5	25
130055	0.00970873786407767	0.186046511627907	0.259259259259259	0.0714285714285714	0.0476190476190476	0.0735294117647059	0	0.16	0.04	0.0384615384615385	0.032258064516129	0.172413793103448	0	0.666666666666667	0.222222222222222	0.0714285714285714	-5	25	-1	1	-1	5	-25
130056	1	1	1	1	0.984126984126984	1	1	1	1	0.884615384615385	0.967741935483871	1	1	1	1	1	4	16	-1	-1	-1	-4	-16
130057	0.766990291262136	1	0.962962962962963	0.857142857142857	0.777777777777778	0.941176470588235	1	0.84	0.96	0.653846153846154	1	0.827586206896552	0.909090909090909	1	0.944444444444444	0.785714285714286	5	25	1	1	1	5	25
130058	0.815533980582524	0.790697674418605	0.851851851851852	0.607142857142857	0.682539682539683	0.720588235294118	0.666666666666667	0.92	0.78	0.5	0.903225806451613	0.655172413793103	0.590909090909091	1	0.722222222222222	0.714285714285714	4	16	1	1	-1	4	16
130059	0.504854368932039	0.744186046511628	0.888888888888889	0.607142857142857	0.603174603174603	0.838235294117647	0.878787878787879	0.96	0.72	0.692307692307692	0.806451612903226	0.517241379310345	0.681818181818182	0.833333333333333	0.833333333333333	0.857142857142857	4	16	-1	1	1	-4	-16
130060	0.83495145631068	0.906976744186046	0.814814814814815	0.785714285714286	0.888888888888889	0.838235294117647	0.757575757575758	0.88	0.82	0.576923076923077	0.870967741935484	0.793103448275862	0.863636363636364	0.916666666666667	0.888888888888889	0.857142857142857	3	9	-1	-1	1	-3	-9
130061	0.825242718446602	0.883720930232558	0.888888888888889	0.892857142857143	0.793650793650794	0.897058823529412	0.939393939393939	0.92	0.94	0.807692307692308	0.935483870967742	0.827586206896552	0.863636363636364	0.916666666666667	0.833333333333333	0.928571428571429	3	9	1	1	1	3	9
130062	0.262135922330097	0.511627906976744	0.666666666666667	0.25	0.333333333333333	0.470588235294118	0.212121212121212	0.52	0.38	0.384615384615385	0.354838709677419	0.586206896551724	0.318181818181818	0.833333333333333	0.555555555555556	0.5	3	9	1	-1	-1	3	9
