     0.000     1.000     0.926     0.571     0.000     0.618     0.000     0.000     0.340     0.000     0.000     0.000     0.000     1.000     0.889     0.857    27.000    -1.000     1.000129296.000     2.154
     0.388     0.302     0.222     0.179     0.206     0.515     0.212     0.520     0.360     0.269     0.258     0.310     0.364     0.250     0.333     0.286    28.000    -1.000     1.000129297.000     2.157
     0.631     0.093     0.444     0.321     0.206     0.279     0.545     0.440     0.640     0.154     0.194     0.310     0.455     0.083     0.333     0.214    28.000    -1.000    -1.000129298.000     2.424
     0.398     0.279     0.778     0.464     0.238     0.632     0.545     0.680     0.660     0.231     0.452     0.448     0.409     0.000     0.611     0.429    27.000    -1.000    -1.000129299.000     2.858
     0.010     0.093     0.037     0.071     0.000     0.074     0.000     0.320     0.020     0.038     0.032     0.207     0.000     0.500     0.056     0.071    17.000    -1.000    -1.000129300.000     1.123
     0.049     0.047     0.074     0.107     0.063     0.221     0.000     0.240     0.060     0.115     0.000     0.138     0.045     0.000     0.111     0.143    27.000    -1.000    -1.000129301.000     1.315
     0.650     0.558     0.704     0.429     0.413     0.618     0.333     0.600     0.640     0.000     0.387     0.207     0.409     0.250     0.611     0.714    28.000    -1.000     1.000129302.000     2.810
     0.029     0.116     0.074     0.036     0.000     0.132     0.030     0.240     0.020     0.000     0.000     0.138     0.045     0.583     0.111     0.000    18.000    -1.000     1.000129303.000     1.100
     0.883     0.814     0.741     0.714     0.778     0.853     0.818     0.840     0.900     0.577     0.581     0.655     0.818     0.667     0.833     0.857    30.000    -1.000     1.000129304.000     3.975
     0.951     0.860     0.778     0.821     0.968     0.912     0.939     0.960     0.980     0.885     0.742     0.828     0.818     0.833     0.778     0.857    29.000    -1.000     1.000129305.000     4.330
     0.184     0.442     0.444     0.464     0.175     0.500     0.212     0.320     0.500     0.231     0.194     0.345     0.409     0.417     0.278     0.357    29.000    -1.000    -1.000129306.000     2.315
     0.000     0.070     0.037     0.071     0.000     0.029     0.000     0.120     0.000     0.000     0.032     0.207     0.000     0.417     0.111     0.000    23.000    -1.000    -1.000129307.000     1.116
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.200     0.000     0.000     0.000     0.069     0.000     0.333     0.000     0.000    18.000    -1.000     1.000129308.000     0.923
     0.136     0.186     0.815     0.607     0.111     0.515     0.636     0.400     0.580     0.000     0.484     0.448     0.364     0.417     0.444     0.429    24.000    -1.000    -1.000129309.000     2.623
     0.495     0.581     0.556     0.464     0.413     0.676     0.364     0.640     0.580     0.308     0.323     0.483     0.545     0.583     0.611     0.643    29.000    -1.000    -1.000129310.000     2.939
     0.214     0.605     0.519     0.214     0.190     0.485     0.212     0.560     0.260     0.231     0.290     0.414     0.318     0.833     0.500     0.429    25.000    -1.000     1.000129311.000     2.223
     0.990     0.744     1.000     1.000     0.984     0.971     0.970     1.000     1.000     1.000     0.903     0.897     0.773     0.750     0.778     0.857    30.000    -1.000     1.000129312.000     4.544
     0.340     0.465     0.111     0.143     0.333     0.309     0.061     0.560     0.100     0.308     0.161     0.621     0.591     0.667     0.444     0.571    25.000    -1.000     1.000129313.000     2.100
     0.010     1.000     1.000     0.071     0.333     0.103     1.000     0.000     1.000     0.000     0.935     0.000     0.000     0.833     0.722     0.786    21.000    -1.000    -1.000129314.000     2.811
     0.262     0.209     0.481     0.286     0.063     0.324     0.364     0.240     0.460     0.077     0.194     0.207     0.136     0.667     0.222     0.286    24.000    -1.000    -1.000129315.000     1.989
     0.583     0.558     0.889     0.321     0.460     0.662     0.242     0.360     0.460     0.231     0.452     0.448     0.318     1.000     0.556     0.786    28.000    -1.000     1.000129316.000     2.764
     0.777     0.791     1.000     0.536     0.778     0.882     0.758     0.800     0.920     0.808     0.774     0.690     0.636     1.000     0.944     0.929    26.000    -1.000     1.000129317.000     3.978
     0.039     0.023     0.037     0.107     0.032     0.074     0.000     0.240     0.060     0.115     0.032     0.138     0.045     0.250     0.056     0.000    29.000    -1.000    -1.000129318.000     1.249
     0.010     0.000     0.000     0.000     0.000     0.000     0.000     0.160     0.000     0.077     0.000     0.103     0.000     0.167     0.000     0.000    21.000    -1.000     1.000129319.000     0.961
     1.000     0.814     0.815     0.464     1.000     0.588     0.909     1.000     0.800     0.500     0.774     0.862     0.727     0.833     0.611     0.643    23.000    -1.000     1.000129320.000     3.843
     0.126     0.070     0.370     0.179     0.111     0.279     0.394     0.480     0.380     0.000     0.032     0.379     0.273     0.250     0.167     0.357    27.000    -1.000     1.000129321.000     1.867
     1.000     1.000     1.000     1.000     1.000     0.985     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.417     0.944     1.000    25.000    -1.000    -1.000129322.000     4.765
     0.000     0.070     0.000     0.036     0.000     0.044     0.000     0.120     0.040     0.038     0.032     0.000     0.000     0.250     0.056     0.000    20.000    -1.000    -1.000129323.000     1.037
     0.146     0.791     0.815     0.214     0.079     0.515     0.091     0.440     0.180     0.192     0.355     0.276     0.273     0.333     0.167     0.429    28.000    -1.000     1.000129324.000     2.064
     0.544     0.791     0.852     0.464     0.492     0.588     0.606     0.640     0.600     0.346     0.516     0.448     0.455     0.833     0.556     0.857    22.000    -1.000     1.000129325.000     3.075
     0.670     0.767     0.741     0.750     0.619     0.926     0.667     0.680     0.840     0.462     0.806     0.586     0.682     0.667     1.000     0.929    29.000    -1.000     1.000129326.000     3.855
     0.476     0.674     0.926     0.786     0.222     0.838     0.848     0.640     0.980     0.500     0.290     0.414     0.409     0.833     0.778     0.786    28.000    -1.000    -1.000129327.000     3.481
     0.146     0.163     0.370     0.214     0.111     0.353     0.182     0.440     0.240     0.231     0.129     0.241     0.227     0.500     0.278     0.429    21.000    -1.000     1.000129328.000     1.798
     0.369     0.302     0.444     0.464     0.143     0.574     0.485     0.520     0.380     0.115     0.097     0.483     0.182     0.667     0.500     0.214    27.000    -1.000    -1.000129329.000     2.366
     0.495     0.349     0.704     0.536     0.286     0.750     0.576     0.680     0.680     0.077     0.323     0.241     0.364     0.250     0.444     0.714    25.000    -1.000     1.000129330.000     2.812
     0.583     0.326     0.556     0.536     0.444     0.485     0.667     0.800     0.600     0.308     0.387     0.483     0.455     0.500     0.556     0.643    17.000    -1.000     1.000129331.000     2.864
     0.573     0.535     0.889     0.607     0.524     0.838     0.848     0.600     0.860     0.269     0.710     0.655     0.727     0.417     0.722     0.714    25.000    -1.000     1.000129332.000     3.588
     0.854     0.814     1.000     0.821     0.508     0.941     0.818     0.880     0.940     0.423     0.839     0.862     0.818     0.833     0.778     0.786    30.000    -1.000    -1.000129333.000     4.143
     0.544     0.326     0.556     0.393     0.302     0.324     0.606     0.680     0.480     0.385     0.258     0.310     0.364     0.500     0.389     0.500    26.000    -1.000     1.000129334.000     2.547
