ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	FIRST_B	MALE
130167	0	0.0952380952380952	0.2	0.0588235294117647	0.142857142857143	0.0833333333333333	0.4	0	0.0714285714285714	0.032258064516129	0.189189189189189	0.427184466019417	0.744186046511628	0.777777777777778	0.571428571428571	0.380952380952381	0.588235294117647	0.454545454545455	0.76	0.58	0.192307692307692	0.516129032258065	0.448275862068966	0.318181818181818	0.583333333333333	0.444444444444444	0.571428571428571	1	-1
130168	0.166666666666667	0.0476190476190476	0.12	0.117647058823529	0	0	0.6	0.05	0.214285714285714	0.032258064516129	0.0540540540540541	0.145631067961165	0.674418604651163	0.62962962962963	0.321428571428571	0.222222222222222	0.485294117647059	0.151515151515152	0.52	0.42	0.192307692307692	0.387096774193548	0.344827586206897	0.227272727272727	0.833333333333333	0.444444444444444	0.642857142857143	1	1
130169	0	0.0952380952380952	0.08	0.117647058823529	0	0	0.2	0.1	0	0	0	0.407766990291262	0.581395348837209	0.814814814814815	0.5	0.428571428571429	0.5	0.212121212121212	0.48	0.44	0.230769230769231	0.67741935483871	0.551724137931034	0.409090909090909	0.75	0.5	0.785714285714286	-1	1
130170	0	0	0.08	0.0588235294117647	0	0	0	0	0	0	0	0.00970873786407767	0.232558139534884	0.037037037037037	0.142857142857143	0.0476190476190476	0.147058823529412	0	0.32	0.12	0	0.032258064516129	0.206896551724138	0	0.583333333333333	0.166666666666667	0.428571428571429	-1	1
130171	0	0	0.04	0.0588235294117647	0	0	0	0	0	0	0	0.029126213592233	0.116279069767442	0.333333333333333	0.178571428571429	0.0476190476190476	0.191176470588235	0.0303030303030303	0.24	0.12	0.0769230769230769	0.193548387096774	0.206896551724138	0.0454545454545455	0.75	0.166666666666667	0.0714285714285714	-1	1
130172	0	0.142857142857143	0.28	0.117647058823529	0.142857142857143	0.0833333333333333	0.6	0.05	0.428571428571429	0.032258064516129	0.135135135135135	0.436893203883495	0.674418604651163	0.703703703703704	0.535714285714286	0.317460317460317	0.617647058823529	0.454545454545455	0.6	0.62	0.346153846153846	0.354838709677419	0.413793103448276	0.272727272727273	0.833333333333333	0.611111111111111	0.428571428571429	1	-1
130173	0	0.0476190476190476	0.08	0.117647058823529	0.142857142857143	0.0833333333333333	0.6	0	0	0	0.108108108108108	0.194174757281553	0.27906976744186	0.518518518518518	0.178571428571429	0.19047619047619	0.338235294117647	0.272727272727273	0.56	0.36	0.153846153846154	0.161290322580645	0.344827586206897	0.136363636363636	0.75	0.333333333333333	0.357142857142857	1	1
130174	0.5	0.80952380952381	0.68	0.647058823529412	0.571428571428571	0.666666666666667	0.8	0.45	0.214285714285714	0.290322580645161	0.972972972972973	0.893203883495146	0.883720930232558	0.888888888888889	1	0.857142857142857	0.970588235294118	0.96969696969697	0.96	0.92	0.653846153846154	0.967741935483871	0.931034482758621	0.681818181818182	0.833333333333333	0.944444444444444	0.928571428571429	-1	-1
130175	0	0	0.16	0	0.285714285714286	0	0.4	0	0	0	0	0.0485436893203883	0.302325581395349	0.259259259259259	0.142857142857143	0.0634920634920635	0.264705882352941	0	0.28	0.24	0.153846153846154	0.161290322580645	0.206896551724138	0.0454545454545455	0.666666666666667	0.222222222222222	0.5	1	-1
130176	0.166666666666667	0.380952380952381	0.32	0.294117647058824	0.142857142857143	0.333333333333333	0.6	0.55	0	0.032258064516129	0.567567567567568	0.533980582524272	0.813953488372093	0.888888888888889	0.571428571428571	0.53968253968254	0.808823529411765	0.575757575757576	0.72	0.64	0.461538461538462	0.580645161290323	0.758620689655172	0.590909090909091	1	0.722222222222222	0.714285714285714	-1	1
