     0.010     0.093     0.037     0.036     0.048     0.059     0.152     0.040     0.080     0.038     0.032     0.034     0.045     0.083     0.000     0.214     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000    -1.000    -6.000    36.000    36.000    -6.000129254.000    -1.764
     0.165     0.093     0.296     0.250     0.095     0.206     0.303     0.400     0.340     0.192     0.065     0.241     0.136     0.333     0.222     0.143     0.000     0.048     0.000     0.059     0.143     0.250     0.200     0.050     0.000     0.000     0.027     1.000    -1.000    -1.000     0.000     0.000     0.000     0.000129255.000    -1.200
     0.097     0.349     0.741     0.464     0.095     0.824     0.152     0.360     0.300     0.154     0.161     0.241     0.045     0.667     0.556     0.714     0.000     0.048     0.080     0.000     0.143     0.083     0.200     0.050     0.000     0.032     0.054     1.000    -1.000    -1.000     4.000    16.000    16.000     4.000129256.000    -0.836
     0.301     0.628     0.926     0.536     0.508     0.676     0.485     0.720     0.720     0.115     0.323     0.655     0.455     0.750     0.556     0.714     0.167     0.048     0.080     0.176     0.429     0.250     0.400     0.150     0.000     0.000     0.162     1.000    -1.000    -1.000     0.000     0.000     0.000     0.000129257.000     0.071
     0.408     0.512     0.185     0.250     0.175     0.441     0.091     0.320     0.200     0.077     0.097     0.345     0.227     0.500     0.389     0.357     0.000     0.000     0.080     0.059     0.000     0.167     0.200     0.000     0.000     0.000     0.027     1.000    -1.000    -1.000     2.000     4.000     4.000     2.000129258.000    -1.047
     0.087     0.047     0.000     0.000     0.000     0.000     0.000     0.080     0.000     0.000     0.000     0.069     0.000     0.083     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000    -1.000    -8.000    64.000    64.000    -8.000129259.000    -1.892
     0.136     0.419     0.778     0.143     0.000     0.338     0.121     0.480     0.380     0.231     0.161     0.207     0.091     0.833     0.444     0.500     0.167     0.095     0.080     0.059     0.000     0.083     0.400     0.100     0.000     0.000     0.000     1.000    -1.000    -1.000    -7.000    49.000    49.000    -7.000129260.000    -0.965
     1.000     1.000     1.000     0.857     1.000     1.000     0.970     1.000     1.000     1.000     0.968     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.040     1.000     0.000     1.000     0.800     0.850     0.000     0.258     0.865     1.000    -1.000    -1.000     6.000    36.000    36.000     6.000129261.000     2.172
     0.175     0.233     0.444     0.357     0.111     0.265     0.242     0.240     0.300     0.077     0.161     0.172     0.227     0.250     0.389     0.286     0.000     0.000     0.160     0.118     0.143     0.083     0.400     0.000     0.000     0.000     0.027    -1.000    -1.000    -1.000    -5.000   -25.000    25.000     5.000129262.000    -1.047
     1.000     1.000     0.963     1.000     1.000     1.000     0.939     0.960     1.000     0.692     1.000     0.897     0.955     1.000     1.000     1.000     0.667     0.905     0.720     0.706     0.571     0.917     0.600     1.000     0.000     0.161     0.622     1.000    -1.000    -1.000     4.000    16.000    16.000     4.000129263.000     2.144
