CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
687170,23.4,2015-07-25,3,12 (adopted),15(adopted),NA,NA,NA
475167,23.6,2015-07-25,6,NA,NA,NA,NA,NA
127751,22.8,2015-07-25,7,4,NA,NA,NA,NA
672553,23.2,2015-07-26,3.5,NA,NA,NA,NA,NA
655263,24.7,2015-07-26,5,3,NA,NA,NA,NA
305430,25.7,2015-07-27,5,NA,NA,NA,NA,NA
182115,23.7,2015-07-27,4,NA,NA,NA,NA,NA
367277,23.8,2015-07-27,4,NA,NA,NA,NA,NA
314486,22.7,2015-07-27,10.5,9.5,7.5,5,3.5,NA
331709,25.1,2015-07-27,7,5,NA,NA,NA,NA
878624,24.8,2015-07-28,1 year,NA,NA,NA,NA,NA
875367,23,2015-07-28,3,NA,NA,NA,NA,NA
866913,24.9,2015-07-31,7,4,NA,NA,NA,NA
452217,25.7,2015-07-31,8,NA,NA,NA,NA,NA
894679,23.7,2015-08-01,6,5,NA,NA,NA,NA
874938,24.9,2015-08-03,3 years,NA,NA,NA,NA,NA
329556,24.1,2015-08-05,8,7,NA,NA,NA,NA
350106,23.9,2015-08-07,6,NA,NA,NA,NA,NA
683725,26,2015-08-09,0 (1 month),NA,NA,NA,NA,NA
902110,24.9,2015-08-10,2,NA,NA,NA,NA,NA
396342,26,2015-08-15,11,3,NA,NA,NA,NA
478457,25.2,2015-08-17,4,NA,NA,NA,NA,NA
425286,20.6,2015-09-23,4,NA,NA,NA,NA,NA
710167,17.9,2015-09-23,5,NA,NA,NA,NA,NA
528341,20.5,2015-09-23,6,NA,NA,NA,NA,NA
966987,18.2,2015-09-23,5,3,NA,NA,NA,NA
464159,19.2,2015-09-23,5,NA,NA,NA,NA,NA
523659,18.8,2015-09-23,3.5,NA,NA,NA,NA,NA
233668,20.5,2015-09-23,9,6,NA,NA,NA,NA
743075,20.3,2015-09-23,3,NA,NA,NA,NA,NA
128347,17.5,2015-09-23,3,NA,NA,NA,NA,NA
385461,17.7,2015-09-23,3.5,NA,NA,NA,NA,NA
539154,19.6,2015-09-23,19,NA,NA,NA,NA,NA
517128,19.1,2015-09-23,6,4,NA,NA,NA,NA
664388,17.5,2015-09-23,5,3,NA,NA,NA,NA
805430,17.7,2015-09-23,3,NA,NA,NA,NA,NA
142846,17.7,2015-09-23,4,NA,NA,NA,NA,NA
176116,18.4,2015-09-23,5,3,NA,NA,NA,NA
341805,17.9,2015-09-23,4,1,NA,NA,NA,NA
571444,17.9,2015-09-23,3,1,NA,NA,NA,NA
593826,20.1,2015-09-23,5,3 months,NA,NA,NA,NA
649733,18.2,2015-09-23,4,NA,NA,NA,NA,NA
229624,19,2015-09-23,4,NA,NA,NA,NA,NA
201510,17.9,2015-09-23,12,9,5,NA,NA,NA
940592,17.1,2015-09-23,8,4,NA,NA,NA,NA
867809,19,2015-09-23,4,NA,NA,NA,NA,NA
363526,18.6,2015-09-23,4,NA,NA,NA,NA,NA
969129,18.1,2015-09-23,3,NA,NA,NA,NA,NA
101276,18.9,2015-09-23,6,3,NA,NA,NA,NA
880282,20.5,2015-09-23,4,NA,NA,NA,NA,NA
664260,17,2015-09-23,3,NA,NA,NA,NA,NA
596285,18.6,2015-09-23,3,NA,NA,NA,NA,NA
923128,17.8,2015-09-23,3,NA,NA,NA,NA,NA
740376,19.5,2015-09-23,5,17,21,NA,NA,NA
